id,code,name,delivery_time,fullstock_days,daily_requirement,to_order,to_orders,status,supply_pack,unit_cost
346,899900545,Карт.жаркое с кур.,5,0,118.4286,1428,1,pending,1,
347,22225555,Хлеб,2,0,0,0,1,pending,1,
348,792320003,бекон,5,0,1.1843,24,1,pending,1,
349,792320008,брокколи заморож.,5,0,17.3486,216,1,pending,1,
350,792330077,говядина гриль,5,0,27.39,336,1,pending,1,
351,792320218,запеканка твор. гот.,5,0,118.4286,1428,1,pending,1,
352,792340009,картофель отварной,5,0,9.1857,120,1,pending,1,
353,792320227,куриное филе дет.60г,5,0,236.8571,2844,1,pending,1,
354,792320052,лук нар. заморож.,5,0,7.3605,96,1,pending,1,
355,792310070,масло подсолнечное,5,0,4.2868,60,1,pending,1,
356,792310143,орехи грецкие 300,5,0,1.7764,0,1,pending,1,
357,792310096,перец черный молотый,5,0,0.5243,0,1,pending,1,
358,792340022,петрушка,5,0,0.249,0,1,pending,1,
359,792310098,рис белый,5,0,5.0714,72,1,pending,1,
360,792330026,сливки 33%,5,0,7.3285,96,1,pending,1,
361,792330090,соус барбекю,5,0,2.3686,36,1,pending,1,
362,792310122,соус кис-слад с овощ,5,0,4.7371,60,1,pending,1,
363,792330041,сыр Гауда тертый,5,0,5.7572,0,1,pending,1,
364,792310129,томатная паста,5,0,1.1843,24,1,pending,1,
365,792340035,укроп,5,0,0.2369,12,1,pending,1,
366,55552222,хлеб2,3,0,0,0,1,pending,1,
367,55552225,хлеб22,1,0,0,0,1,pending,1,
368,792330054,яйцо вареное,5,0,59.2143,720,1,pending,1,
